agent,board,magnitude,frequency,seed,label,condition,shift_idx,to_opponent,returns_to_A,shift_at_step,baseline,threshold80,min_rolling,perf_drop,end_rolling,disrupted,recovered,recovery_games,adapt_cost_games,adapt_cost_ksteps,segment_games
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,6,edge,1,1500052,0.99,0.792,0.98,0.01,1.0,0,1,0,4.61,0.2,4734
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,7,corner,0,1700072,1.0,0.8,0.97,0.03,1.0,0,1,0,20.0,0.75,5293
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,8,edge,1,1900053,1.0,0.8,0.98,0.02,1.0,0,1,0,11.0,0.51,4874
ppo,9x9,low,f3,0,low-f3,corner-phase2-low-f3,9,corner,0,2100043,1.0,0.8,0.97,0.03,1.0,0,1,0,7.0,0.27,5389
ppo,9x9,low,f1,2,low-f1,corner-phase2-low-f1-s2,0,edge,1,300092,1.0,0.8,0.88,0.12,1.0,0,1,0,227.0,9.78,35944
ppo,9x9,low,f1,2,low-f1,corner-phase2-low-f1-s2,1,corner,0,1800070,1.0,0.8,0.95,0.05,0.99,0,1,0,69.41,2.8,12659
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,0,defensive,1,300079,0.99,0.792,0.73,0.26,0.99,1,1,7,91.46,6.28,2937
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,1,greedy,0,500077,0.99,0.792,0.95,0.04,0.99,0,1,0,29.07,1.47,3841
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,2,defensive,1,700091,0.99,0.792,0.89,0.1,0.95,0,1,0,71.5,4.23,3388
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,3,greedy,0,900071,0.95,0.76,0.95,0.0,0.97,0,1,0,0.0,0.0,3721
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,4,defensive,1,1100041,0.97,0.776,0.8,0.17,0.98,0,1,0,48.28,2.65,3745
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,5,greedy,0,1300088,0.98,0.784,0.93,0.05,0.97,0,1,0,22.66,1.21,3591
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,6,defensive,1,1500081,0.97,0.776,0.79,0.18,0.96,0,1,0,56.5,2.9,3905
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,7,greedy,0,1700100,0.96,0.768,0.93,0.03,0.99,0,1,0,1.68,0.09,3692
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,8,defensive,1,1900080,0.99,0.792,0.88,0.11,0.98,0,1,0,102.4,5.12,4016
ppo,9x9,high,f3,2,high-f3,greedy-phase2-high-f3-s2,9,greedy,0,2100066,0.98,0.784,0.93,0.05,1.0,0,1,0,19.59,1.03,3747
ppo,9x9,med,f1,1,med-f1,corner-phase2-med-f1-s1,0,defensive,1,300094,1.0,0.8,0.88,0.12,1.0,0,1,0,668.0,37.66,28863
ppo,9x9,med,f1,1,med-f1,corner-phase2-med-f1-s1,1,corner,0,1800181,1.0,0.8,0.91,0.09,0.98,0,1,0,53.19,4.59,9035
ppo,9x9,high,f1,0,high-f1,greedy-phase2-high-f1,0,defensive,1,300203,0.97,0.776,0.6,0.37,0.99,1,1,130,248.08,13.72,31614
ppo,9x9,high,f1,0,high-f1,greedy-phase2-high-f1,1,greedy,0,1800053,0.99,0.792,0.92,0.07,0.97,0,1,0,97.39,6.55,7486
ppo,9x9,high,f2,2,high-f2,greedy-phase2-high-f2-s2,0,defensive,1,300079,0.99,0.792,0.73,0.26,0.98,1,1,7,184.85,11.36,8360
ppo,9x9,high,f2,2,high-f2,greedy-phase2-high-f2-s2,1,greedy,0,800195,0.98,0.784,0.93,0.05,0.99,0,1,0,25.27,1.33,9209
ppo,9x9,high,f2,2,high-f2,greedy-phase2-high-f2-s2,2,defensive,1,1300108,0.99,0.792,0.77,0.22,0.98,1,1,16,211.45,11.35,9567
ppo,9x9,high,f2,2,high-f2,greedy-phase2-high-f2-s2,3,greedy,0,1800093,0.98,0.784,0.93,0.05,0.97,0,1,0,52.92,2.75,9406
feudal,13x13,med,f2,1,med-f2,corner-phase2-med-f2-s1,0,defensive,1,501235,0.55,0.44,0.45,0.1,0.72,0,1,0,3.73,0.77,3433
feudal,13x13,med,f2,1,med-f2,corner-phase2-med-f2-s1,1,corner,0,1400188,0.72,0.576,0.16,0.56,0.47,1,1,3,1494.62,289.08,4464
feudal,13x13,med,f2,1,med-f2,corner-phase2-med-f2-s1,2,defensive,1,2300262,0.47,0.376,0.47,0.0,0.8,0,1,0,0.0,0.0,6539
