game_idx,global_step,opponent,win,rolling,shift_idx,games_since_shift
351,28198,corner,1,0.8600,-1,0
352,28299,corner,1,0.8600,-1,0
353,28381,corner,1,0.8600,-1,0
354,28455,corner,1,0.8600,-1,0
355,28534,corner,1,0.8600,-1,0
356,28603,corner,1,0.8600,-1,0
357,28688,corner,1,0.8700,-1,0
358,28752,corner,1,0.8700,-1,0
359,28828,corner,0,0.8700,-1,0
360,28912,corner,1,0.8700,-1,0
361,28984,corner,1,0.8700,-1,0
362,29062,corner,1,0.8700,-1,0
363,29145,corner,1,0.8800,-1,0
364,29250,corner,1,0.8800,-1,0
365,29378,corner,1,0.8800,-1,0
366,29444,corner,1,0.8800,-1,0
367,29533,corner,0,0.8700,-1,0
368,29593,corner,1,0.8700,-1,0
369,29668,corner,1,0.8700,-1,0
370,29782,corner,1,0.8700,-1,0
371,29842,corner,1,0.8700,-1,0
372,29923,corner,0,0.8700,-1,0
373,29986,corner,1,0.8700,-1,0
374,30074,corner,1,0.8700,-1,0
375,30170,corner,1,0.8700,-1,0
376,30271,corner,1,0.8700,-1,0
377,30364,corner,1,0.8700,-1,0
378,30433,corner,1,0.8700,-1,0
379,30520,corner,1,0.8800,-1,0
380,30693,corner,1,0.8800,-1,0
381,30798,corner,1,0.8800,-1,0
382,30879,corner,1,0.8800,-1,0
383,30964,corner,1,0.8800,-1,0
384,31044,corner,1,0.8800,-1,0
385,31128,corner,0,0.8800,-1,0
386,31194,corner,1,0.8800,-1,0
387,31281,corner,1,0.8800,-1,0
388,31353,corner,1,0.8800,-1,0
389,31402,corner,0,0.8700,-1,0
390,31466,corner,1,0.8700,-1,0
391,31550,corner,1,0.8700,-1,0
392,31604,corner,0,0.8600,-1,0
393,31697,corner,1,0.8600,-1,0
394,31746,corner,1,0.8600,-1,0
395,31816,corner,1,0.8600,-1,0
396,31901,corner,1,0.8600,-1,0
397,31971,corner,1,0.8600,-1,0
398,32045,corner,1,0.8600,-1,0
399,32142,corner,1,0.8700,-1,0
400,32205,corner,1,0.8800,-1,0
401,32283,corner,1,0.8800,-1,0
402,32330,corner,0,0.8700,-1,0
403,32437,corner,1,0.8700,-1,0
404,32499,corner,0,0.8600,-1,0
405,32599,corner,1,0.8600,-1,0
406,32684,corner,0,0.8500,-1,0
407,32768,corner,0,0.8500,-1,0
408,32816,corner,0,0.8400,-1,0
409,32887,corner,1,0.8400,-1,0
410,32971,corner,0,0.8300,-1,0
411,33051,corner,1,0.8300,-1,0
412,33187,corner,0,0.8200,-1,0
413,33268,corner,1,0.8200,-1,0
414,33360,corner,1,0.8200,-1,0
415,33451,corner,1,0.8200,-1,0
416,33533,corner,1,0.8200,-1,0
417,33698,corner,0,0.8200,-1,0
418,33773,corner,1,0.8300,-1,0
419,33888,corner,1,0.8300,-1,0
420,33974,corner,1,0.8300,-1,0
421,34045,corner,1,0.8300,-1,0
422,34123,corner,1,0.8300,-1,0
423,34170,corner,0,0.8200,-1,0
424,34236,corner,1,0.8200,-1,0
425,34293,corner,1,0.8200,-1,0
426,34360,corner,1,0.8200,-1,0
427,34458,corner,1,0.8300,-1,0
428,34507,corner,0,0.8200,-1,0
429,34596,corner,1,0.8200,-1,0
430,34640,corner,0,0.8100,-1,0
431,34719,corner,1,0.8200,-1,0
432,34789,corner,0,0.8100,-1,0
433,34897,corner,1,0.8200,-1,0
434,34995,corner,1,0.8200,-1,0
435,35104,corner,1,0.8200,-1,0
436,35182,corner,1,0.8200,-1,0
437,35249,corner,1,0.8200,-1,0
438,35327,corner,1,0.8200,-1,0
439,35412,corner,1,0.8200,-1,0
440,35493,corner,1,0.8200,-1,0
441,35575,corner,1,0.8200,-1,0
442,35696,corner,1,0.8200,-1,0
443,35774,corner,1,0.8200,-1,0
444,35888,corner,1,0.8200,-1,0
445,35960,corner,1,0.8200,-1,0
446,36064,corner,1,0.8200,-1,0
447,36142,corner,1,0.8200,-1,0
448,36234,corner,1,0.8200,-1,0
449,36301,corner,1,0.8200,-1,0
450,36390,corner,1,0.8200,-1,0
451,36469,corner,1,0.8200,-1,0
452,36515,corner,0,0.8100,-1,0
453,36609,corner,1,0.8100,-1,0
454,36677,corner,1,0.8100,-1,0
455,36765,corner,1,0.8100,-1,0
456,36830,corner,1,0.8100,-1,0
457,36901,corner,1,0.8100,-1,0
458,36989,corner,1,0.8100,-1,0
459,37063,corner,1,0.8200,-1,0
460,37115,corner,0,0.8100,-1,0
461,37175,corner,1,0.8100,-1,0
462,37271,corner,1,0.8100,-1,0
463,37340,corner,1,0.8100,-1,0
464,37394,corner,0,0.8000,-1,0
465,37472,corner,1,0.8000,-1,0
466,37541,corner,1,0.8000,-1,0
467,37604,corner,1,0.8100,-1,0
468,37687,corner,1,0.8100,-1,0
469,37782,corner,1,0.8100,-1,0
470,37851,corner,1,0.8100,-1,0
471,37928,corner,1,0.8100,-1,0
472,38013,corner,1,0.8200,-1,0
473,38109,corner,1,0.8200,-1,0
474,38159,corner,0,0.8100,-1,0
475,38259,corner,1,0.8100,-1,0
476,38318,corner,1,0.8100,-1,0
477,38371,corner,1,0.8100,-1,0
478,38476,corner,1,0.8100,-1,0
479,38549,corner,1,0.8100,-1,0
480,38602,corner,1,0.8100,-1,0
481,38748,corner,0,0.8000,-1,0
482,38836,corner,1,0.8000,-1,0
483,38900,corner,1,0.8000,-1,0
484,39025,corner,1,0.8000,-1,0
485,39097,corner,1,0.8100,-1,0
486,39155,corner,1,0.8100,-1,0
487,39237,corner,1,0.8100,-1,0
488,39311,corner,1,0.8100,-1,0
489,39386,corner,1,0.8200,-1,0
490,39517,corner,1,0.8200,-1,0
491,39587,corner,1,0.8200,-1,0
492,39658,corner,1,0.8300,-1,0
493,39755,corner,1,0.8300,-1,0
494,39827,corner,1,0.8300,-1,0
495,39906,corner,1,0.8300,-1,0
496,39973,corner,1,0.8300,-1,0
497,40039,corner,1,0.8300,-1,0
498,40123,corner,1,0.8300,-1,0
499,40200,corner,1,0.8300,-1,0
