  Step     2,048 | Games     53 | WinRate(last100) 50.9% | epLen  38.6 | KL 0.0045
  Step   212,992 | Games  6,160 | WinRate(last100) 98.0% | epLen  31.4 | KL 0.0177
  Step   215,040 | Games  6,228 | WinRate(last100) 98.0% | epLen  30.8 | KL 0.0126
  Step   217,088 | Games  6,292 | WinRate(last100) 96.0% | epLen  31.7 | KL 0.0128
  Step   219,136 | Games  6,358 | WinRate(last100) 96.0% | epLen  30.9 | KL 0.0141
  Step   221,184 | Games  6,423 | WinRate(last100) 91.0% | epLen  30.9 | KL 0.0121
  Step   223,232 | Games  6,484 | WinRate(last100) 92.0% | epLen  32.7 | KL 0.0146
  Step   225,280 | Games  6,550 | WinRate(last100) 93.0% | epLen  32.5 | KL 0.0163
  Step   227,328 | Games  6,610 | WinRate(last100) 95.0% | epLen  33.5 | KL 0.0136
  Step   229,376 | Games  6,671 | WinRate(last100) 96.0% | epLen  33.5 | KL 0.0189
  Step   231,424 | Games  6,734 | WinRate(last100) 97.0% | epLen  32.6 | KL 0.0145
  Step   233,472 | Games  6,799 | WinRate(last100) 97.0% | epLen  32.2 | KL 0.0156
  Step   235,520 | Games  6,862 | WinRate(last100) 97.0% | epLen  31.9 | KL 0.0101
  Step   237,568 | Games  6,925 | WinRate(last100) 96.0% | epLen  32.5 | KL 0.0156
  Step   239,616 | Games  6,993 | WinRate(last100) 97.0% | epLen  31.1 | KL 0.0157
  Step   241,664 | Games  7,061 | WinRate(last100) 95.0% | epLen  30.3 | KL 0.0127
  Step   243,712 | Games  7,124 | WinRate(last100) 94.0% | epLen  31.5 | KL 0.0116
  Step   245,760 | Games  7,194 | WinRate(last100) 94.0% | epLen  30.5 | KL 0.0169
  Step   247,808 | Games  7,261 | WinRate(last100) 90.0% | epLen  30.1 | KL 0.0118
  Step   249,856 | Games  7,326 | WinRate(last100) 91.0% | epLen  31.5 | KL 0.0152
  Step   251,904 | Games  7,392 | WinRate(last100) 92.0% | epLen  30.9 | KL 0.0111
  Step   253,952 | Games  7,458 | WinRate(last100) 96.0% | epLen  31.0 | KL 0.0133
